,secID,ticker,exchangeCD,secShortName,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,CHG,CHGPct,turnoverVol,turnoverValue,discount,discountRatio,circulationShares,accumAdjFactor
0,150001.XSHE2,150001,XSHE,国投瑞银瑞福深证100指数分级-进取,2015-05-13,2.03,2.02,2.043,2.0,2.019,-0.011,-0.0054,115672215,234249156.659,0.266,0.116411,3633660976.0,1.0
1,150008.XSHE,150008,XSHE,国投瑞银瑞和沪深300指数分级-小康,2015-05-13,1.541,1.541,1.554,1.536,1.554,0.013,0.0084,624313,965047.757,-0.099,-0.068041,35720244.0,0.603656
2,150009.XSHE,150009,XSHE,国投瑞银瑞和沪深300指数分级-远见,2015-05-13,2.102,2.082,2.104,2.07,2.074,-0.028,-0.0133,776340,1613156.41,0.147,0.066186,35720244.0,0.915316
3,150012.XSHE,150012,XSHE,国联安双禧中证100指数分级-A,2015-05-13,1.138,1.138,1.138,1.128,1.134,-0.004,-0.0035,22080357,25008373.63,0.001,0.000881,304861040.0,1.148
4,150013.XSHE,150013,XSHE,国联安双禧中证100指数分级-B,2015-05-13,2.188,2.195,2.198,2.144,2.154,-0.034,-0.0155,32745157,71137034.438,0.036,0.016438,457291560.0,0.71133
5,150016.XSHE,150016,XSHE,兴全合润分级混合-A,2015-05-13,1.927,1.881,1.98,1.881,1.925,-0.002,-0.001,119182,231162.666,0.0444,0.022545,10053830.0,0.994
6,150017.XSHE,150017,XSHE,兴全合润分级混合-B,2015-05-13,2.632,2.632,2.632,2.594,2.62,-0.012,-0.0046,395050,1036593.102,0.0387,0.014556,15080746.0,1.010235
7,150018.XSHE,150018,XSHE,银华深证100指数分级-稳健,2015-05-13,1.0,1.0,1.024,1.0,1.016,0.016,0.016,114149816,115922363.142,0.005,0.004897,2648329693.0,0.711361
8,150019.XSHE,150019,XSHE,银华深证100指数分级-积极,2015-05-13,1.506,1.491,1.52,1.472,1.505,-0.001,-0.0007,230477505,346049769.2,0.034,0.022092,2648329693.0,1.0
9,150020.XSHE,150020,XSHE,富国汇利回报分级债-A,2015-05-13,1.07,1.068,1.15,1.068,1.071,0.001,0.0009,962361,1031185.27,0.004,0.003721,355079151.0,1.113
10,150021.XSHE,150021,XSHE,富国汇利回报分级债-B,2015-05-13,1.325,1.325,1.327,1.32,1.327,0.002,0.0015,784821,1038289.264,0.031,0.022828,152176780.0,1.346574
11,150022.XSHE,150022,XSHE,申万菱信深证成指分级-收益,2015-05-13,0.88,0.88,0.886,0.873,0.886,0.006,0.0068,27012623,23792277.348,0.135,0.132223,958405960.0,0.401392
12,150023.XSHE,150023,XSHE,申万菱信深证成指分级-进取,2015-05-13,0.934,0.928,0.948,0.921,0.939,0.005,0.0054,72762684,68142587.623,-0.113,-0.136804,958405960.0,1.0
13,150027.XSHE,150027,XSHE,天弘添利分级债券-B,2015-05-13,1.334,1.331,1.339,1.331,1.339,0.005,0.0038,5255059,7010487.122,0.039,0.028302,897074998.0,1.0
14,150028.XSHE,150028,XSHE,信诚中证500指数分级-A,2015-05-13,0.972,0.972,0.992,0.972,0.99,0.018,0.0185,7946985,7821784.463,0.026,0.025591,193476069.0,0.963985
15,150029.XSHE,150029,XSHE,信诚中证500指数分级-B,2015-05-13,2.062,2.04,2.075,1.99,2.042,-0.02,-0.0097,25107186,51025128.489,0.021,0.010179,290214105.0,1.0
16,150030.XSHE,150030,XSHE,银华中证等权90指数分级-金利,2015-05-13,1.008,1.005,1.014,1.005,1.014,0.006,0.006,3037585,3071122.176,0.008,0.007828,238989267.0,1.05814
17,150031.XSHE,150031,XSHE,银华中证等权90指数分级-鑫利,2015-05-13,2.729,2.691,2.73,2.65,2.699,-0.03,-0.011,9501647,25644169.135,0.027,0.009905,238989267.0,0.27532
18,150032.XSHE,150032,XSHE,嘉实多利分级债-优先,2015-05-13,0.934,0.93,0.934,0.925,0.931,-0.003,-0.0032,202004,188243.128,0.0757,0.075196,22879380.0,0.904562
19,150033.XSHE,150033,XSHE,嘉实多利分级债-进取,2015-05-13,1.456,1.455,1.48,1.455,1.48,0.024,0.0165,260678,384304.04,-0.2833,-0.236734,5719845.0,1.636456
20,150034.XSHE,150034,XSHE,泰达聚利债券-A,2015-05-13,1.159,1.157,1.162,1.157,1.159,0.0,0.0,597402,692452.518,0.025,0.021115,921799800.0,1.0
21,150035.XSHE,150035,XSHE,泰达聚利债券-B,2015-05-13,2.027,2.028,2.045,2.028,2.04,0.013,0.0064,3097100,6313127.7,0.071,0.033633,426248338.0,1.0
22,150036.XSHE,150036,XSHE,建信双利分级股票-稳健,2015-05-13,1.138,1.131,1.156,1.131,1.148,0.01,0.0088,383872,440132.633,-0.125,-0.12219,7180572.0,0.983423
23,150037.XSHE,150037,XSHE,建信双利分级股票-进取,2015-05-13,1.879,1.889,1.898,1.861,1.879,0.0,0.0,610999,1150950.813,0.124,0.061907,10770860.0,1.0
24,150039.XSHE,150039,XSHE,中欧鼎利分级债-A,2015-05-13,1.007,1.007,1.011,1.006,1.007,0.0,0.0,96400,97192.0,0.029,0.027992,20237235.0,1.14
25,150040.XSHE,150040,XSHE,中欧鼎利分级债-B,2015-05-13,1.705,1.699,1.722,1.699,1.721,0.016,0.0094,60552,103796.216,-0.052,-0.031156,8673101.0,1.076768
26,150042.XSHE,150042,XSHE,长信利鑫分级债券-B,2015-05-13,1.44,1.424,1.44,1.424,1.44,0.0,0.0,119600,172192.0,0.0701,0.046421,191033159.0,1.0
