,state,date,总人口,累积测试人数,每1000人中累积测试人数,总计测试人数增长,累积测试阳性,阳性测试增长,累积测试阴性,累积阳性概率,累积死亡人数,每100000中死亡人数,死亡增长
0,Alaska,2020/3/6,737438,8,0.01084837,0,0,0,8,0,0,0,0
1,Alaska,2020/3/7,737438,12,0.016272554,4,0,0,12,0,0,0,0
2,Alaska,2020/3/8,737438,14,0.018984647,2,0,0,14,0,0,0,0
3,Alaska,2020/3/9,737438,23,0.031189063,9,0,0,23,0,0,0,0
4,Alaska,2020/3/10,737438,23,0.031189063,0,0,0,23,0,0,0,0
5,Alaska,2020/3/11,737438,46,0.062378125,23,0,0,46,0,0,0,0
6,Alaska,2020/3/12,737438,46,0.062378125,0,0,0,46,0,0,0,0
7,Alaska,2020/3/13,737438,60,0.081362772,14,0,0,60,0,0,0,0
8,Alaska,2020/3/14,737438,144,0.195270653,84,0,0,144,0,0,0,0
9,Alaska,2020/3/15,737438,144,0.195270653,0,0,0,144,0,0,0,0
10,Alaska,2020/3/16,737438,144,0.195270653,0,0,0,144,0,0,0,0
11,Alaska,2020/3/17,737438,337,0.45698757,193,3,3,334,0.890207715,0,0,0
12,Alaska,2020/3/18,737438,412,0.558691036,75,8,5,404,1.941747573,0,0,0
13,Alaska,2020/3/19,737438,438,0.593948237,26,11,3,427,2.511415525,0,0,0
14,Alaska,2020/3/20,737438,698,0.94652025,260,14,3,684,2.005730659,0,0,0
15,Alaska,2020/3/21,737438,772,1.046867669,74,15,1,757,1.943005181,0,0,0
16,Alaska,2020/3/22,737438,968,1.312652725,196,25,10,943,2.582644628,0,0,0
17,Alaska,2020/3/23,737438,968,1.312652725,0,38,13,930,3.925619835,0,0,0
18,Alaska,2020/3/24,737438,1022,1.38587922,54,42,4,980,4.109589041,0,0,0
19,Alaska,2020/3/25,737438,1691,2.29307413,669,49,7,1642,2.897693672,1,0.14,1
20,Alaska,2020/3/26,737438,1860,2.522245938,169,63,14,1797,3.387096774,1,0.14,0
21,Alaska,2020/3/27,737438,2388,3.238238333,528,74,11,2314,3.098827471,1,0.14,0
22,Alaska,2020/3/28,737438,2921,3.96101096,533,91,17,2830,3.115371448,2,0.27,1
23,Alaska,2020/3/29,737438,3334,4.521058041,413,110,19,3224,3.299340132,2,0.27,0
24,Alaska,2020/3/30,737438,3654,4.954992827,320,118,8,3536,3.229337712,3,0.41,1
25,Alaska,2020/3/31,737438,3713,5.034999553,59,128,10,3585,3.447347159,3,0.41,0
26,Alaska,2020/4/1,737438,4603,6.241880673,890,141,13,4462,3.063219639,3,0.41,0
27,Alaska,2020/4/2,737438,5022,6.810064033,419,149,8,4873,2.96694544,3,0.41,0
28,Alaska,2020/4/3,737438,6016,8.157973958,994,160,11,5856,2.659574468,3,0.41,0
29,Alaska,2020/4/4,737438,6040,8.190519067,24,171,11,5869,2.831125828,5,0.68,2
30,Alaska,2020/4/5,737438,6284,8.521394341,244,185,14,6099,2.943984723,6,0.81,1
31,Alaska,2020/4/6,737438,6883,9.333666017,599,191,6,6692,2.774952782,6,0.81,0
32,Alaska,2020/4/7,737438,6913,9.374347403,30,213,22,6700,3.081151454,6,0.81,0
33,Alaska,2020/4/8,737438,7068,9.584534564,155,226,13,6842,3.197509904,7,0.95,1
34,Alaska,2020/4/9,737438,7223,9.794721726,155,235,9,6988,3.253495777,7,0.95,0
35,Alaska,2020/4/10,737438,7432,10.07813538,209,246,11,7186,3.310010764,7,0.95,0
36,Alaska,2020/4/11,737438,7732,10.48494924,300,257,11,7475,3.323848939,8,1.08,1
37,Alaska,2020/4/12,737438,8038,10.89989938,306,272,15,7766,3.38392635,8,1.08,0
38,Alaska,2020/4/13,737438,7830,10.61784177,-208,277,5,7553,3.537675607,8,1.08,0
39,Alaska,2020/4/14,737438,8348,11.3202737,518,285,8,8063,3.413991375,9,1.22,1
